1.88767	-1.92967	-0.997802	2	-0.105983	-2	1.42955	1.43443	-2	-0.142125	2	-1.2967	-1.54286	2	0.575824	-2	0.778999	1.79683	-2	-0.584615	2	-0.411722	-1.89451	1.85739	1.31526	-2	0.225153	2	-1.6083	-1.21074	2	0.315995	-2	1.10037	1.579	-2	-0.453724	2	-0.974359	-1.83785	1.95604	1.02125	-2	0.437119	1.95897	-1.69915	-0.788767	2	-0.116728	-2	1.50867	1.53211	-2	-0.0874237	2	-1.22833	-1.53504	2	0.587546	-2	0.978266	1.82906	-1.95995	-0.617827	2	-0.480098	-1.92674	1.73919	1.23712	-2	0.25641	2	-1.54579	-1.31331	2	0.23199	-2	1.02515	1.55653	-2	-0.336508	2	-1.03101	-1.8232	1.96386	1.05153	-2	0.572894	1.97656	-1.7138	-0.795604	2	-0.0854701	-2	1.42173	1.42369	-2	-0.193895	2	-1.20098	-1.52723	2	0.742857	-2	0.776068	1.7685	-2	-0.635409	2	-0.460562	-1.95214	1.8906	1.35043	-2	0.228083	2	-1.54676	-1.26056	2	0.289622	-2	1.19512	1.66007	-2	-0.335531	2	-0.98022	-1.74994	1.95409	0.949939	-2	0.596337	1.97753	-1.82515	-0.835653	2	-0.0014652	-2	1.35238	1.37094	-2	0.0219781	2	-1.43346	-1.57998	2	0.634432	-2	0.780952	1.74115	-1.88083	-0.435165	2	-0.573871	-1.99121	1.74799	1.27717	-2	0.210501	2	-1.73138	-1.27033	2	0.306227	-2	1.01245	1.57802	-2	-0.396093	2	-0.991941	-1.7138	2	1.14628	-2	0.525031	1.82906	-1.75482	-0.956776	2	0.00439572	-2	1.38755	1.48816	-2	-0.0385836	2	-1.39536	-1.58681	2	0.785836	-2	0.666667	1.79585	-1.88376	-0.503541	2	-0.469353	-1.95507	1.82515	1.31136	-2	0.110867	2	-1.47546	-1.32503	2	0.42442	-2	1.08474	1.69426	-2	-0.349206	2	-0.93431	-1.82906	1.88864	1.10916	-2	0.30232	1.98144	-1.81929	-1.04664	2	-0.0610501	-2	1.35238	1.50085	-2	-0.0903541	2	-1.21074	-1.59658	2	0.864957	-2	0.469353	1.79683	-1.96679	-0.778022	2	-0.374603	-2	1.66496	1.36801	-2	0.236874	2	-1.44811	-1.34945	2	0.682296	-2	0.803419	1.68645	-2
-0.573871	2	-0.535775	-1.86032	1.91502	1.24298	-2	0.246642	2	-1.55067	-1.07204	2	0.371673	-2	1.20781	1.61612	-2	-0.509402	2	-1.05055	-1.7011	1.9873	0.896215	-2	0.610012	1.95702	-1.8105	-0.867888	2	0.00732613	-2	1.54676	1.44127	-2	-0.0454212	2	-1.46178	-1.51355	2	0.671551	-2	0.837607	1.82125	-1.96679	-0.588523	2	-0.512332	-1.98535	1.83883	1.32112	-2	0.247619	2	-1.72259	-1.2254	2	0.346276	-2	1.26935	1.68742	-2	-0.30525	2	-0.991941	-1.7265	2	0.989011	-2	0.442979	1.92088	-1.71966	-0.71746	2	-0.154823	-2	1.57998	1.42662	-2	-0.0884005	2	-1.2928	-1.46667	2	0.621734	-2	0.884493	1.73431	-2	-0.52503	2	-0.553358	-1.85739	1.89939	1.31917	-2	0.266178	2	-1.55556	-1.1199	2	0.20464	-2	1.16386	1.579	-2	-0.264225	2	-0.999756	-1.73529	1.96386	0.878633	-2	0.518193	1.82906	-1.92479	-0.880586	2	-0.236874	-2	1.37387	1.35824	-2	-0.0923077	2	-1.43053	-1.43443	2	0.591453	-2	0.907937	1.78315	-2	-0.513309	2	-0.610989	-1.86325	1.86911	1.25079	-2	0.407815	2	-1.64249	-1.07399	2	0.249573	-2	1.27033	1.579	-2	-0.392186	2	-1.12869	-1.77143	1.97851	0.860073	-2	0.520147	1.82906	-1.86911	-0.757509	2	-0.147009	-2	1.61709	1.39829	-2	0.110867	2	-1.42955	-1.42564	2	0.54652	-2	1.07204	1.73431	-2	-0.450794	2	-0.704762	-1.82027	1.83297	1.08181	-2	0.459585	2	-1.7978	-1.06032	2	-0.0571429	-2	1.20195	1.46667	-2	-0.133333	2	-1.27521	-1.55067	2	0.764347	-2	0.797558	1.81734	-1.8906	-0.588523	2	-0.244689	-1.93651	1.76459	1.31722	-2	0.291575	2	-1.58779	-1.42173	2	0.516239	-2	0.950916	1.63663	-2	-0.355067	2	-0.842491	-1.82613	1.8906	1.00952	-2	0.262271	1.95409	-1.79292	-1.0652	2	-0.00732601	-2	1.32405	1.45885	-2	-0.139194	2	-1.29573	-1.49402	2	0.657876	-2	0.848352	1.82906	-2	-0.605128	2	-0.551404	-1.94237	1.74017	1.30061	-2	0.260318	2
-2	0.422467	2	-1.54969	-1.05836	2	0.189011	-2	1.40317	1.579	-2	-0.148962	2	-0.927472	-1.58291	2	0.866911	-2	0.538706	1.82906	-1.98437	-0.849328	2	-0.299389	-1.9873	1.54774	1.2967	-2	0.217338	2	-1.44029	-1.33578	2	0.509402	-2	0.994872	1.68645	-2	-0.324786	2	-0.747741	-1.77241	1.87692	1.10134	-2	0.383394	2	-1.67961	-1.00952	2	0.0317461	-2	1.40317	1.49695	-2	-0.141148	2	-1.25372	-1.65128	2	0.819048	-2	0.555311	1.81538	-1.97363	-0.580708	2	-0.391209	-1.96288	1.80562	1.38364	-2	0.117705	2	-1.45201	-1.2967	2	0.476191	-2	1.04762	1.579	-2	-0.501587	2	-0.852259	-1.80757	1.9199	1.04664	-2	0.392186	1.82906	-1.83883	-0.93431	2	-0.026862	-2	1.30159	1.49695	-2	-0.00634921	2	-1.40513	-1.55458	2	0.795604	-2	0.795604	1.78217	-1.92967	-0.492796	2	-0.507448	-1.95018	1.78315	1.31819	-2	0.437119	2	-1.75775	-1.27033	2	0.231014	-2	1.17949	1.53993	-2	-0.316972	2	-1.18339	-1.73529	2	0.929426	-2	0.550427	1.82906	-1.96288	-0.823932	2	-0.152869	-2	1.51453	1.38071	-2	0.071795	2	-1.52332	-1.42173	2	0.664713	-2	1.00464	1.7685	-2	-0.430281	2	-0.825885	-1.90037	1.93162	1.24493	-2	0.233944	2	-1.57998	-1.0525	2	0.0297925	-2	1.35922	1.49988	-2	-0.0952381	2	-1.19512	-1.61123	2	0.76044	-2	0.653968	1.7851	-1.90232	-0.590476	2	-0.377534	-1.95214	1.72259	1.3348	-2	0.0903542	2	-1.72259	-1.42173	2	0.429304	-2	1.03785	1.579	-2	-0.314041	2	-1.04274	-1.76947	2	1.116	-2	0.47326	1.96093	-1.66593	-0.881563	2	-0.03663	-2	1.48132	1.48034	-2	-0.0874237	2	-1.47448	-1.56923	2	0.632479	-2	0.829792	1.77436	-2	-0.463492	2	-0.585592	-1.98828	1.8359	1.26935	-2	0.306227	2	-1.80269	-1.15897	2	0.376557	-2	1.29475	1.66789	-2	-0.199756	2	-1.02418	-1.65812	2	0.899145	-2	0.487912	1.82906	-1.79683	-0.757509	2	-0.307204	-2	1.54774
1.23223	1.579	-2	-0.383394	2	-1.08376	-1.68254	1.97167	0.803419	-2	0.654945	1.82906	-1.94921	-0.91282	2	-0.350183	-2	1.62002	1.46667	-2	0.0727718	2	-1.32601	-1.30842	2	0.506471	-2	0.927473	1.80659	-1.93455	-0.467399	2	-0.554335	-1.8525	1.90525	1.17656	-2	0.224176	2	-1.48327	-1.06911	2	0.219292	-2	1.27814	1.69817	-2	-0.272039	2	-0.83663	-1.61319	2	1.02125	-2	0.511355	1.82906	-1.85543	-0.961661	2	-0.241758	-2	1.46374	1.35922	-2	-0.051282	2	-1.25372	-1.46276	2	0.565079	-2	0.864957	1.75287	-2	-0.64127	2	-0.561172	-1.916	1.88376	1.2928	-2	0.173382	2	-1.63468	-1.13455	2	0.223199	-2	1.16679	1.579	-2	-0.274969	2	-1.16386	-1.75482	2	0.95873	-2	0.495727	1.82906	-1.80855	-0.744811	2	-0.271062	-2	1.5917	1.39927	-2	0.076679	2	-1.39536	-1.42271	2	0.655922	-2	0.908913	1.73822	-2	-0.435165	2	-0.768254	-1.94725	1.81245	1.25568	-2	0.199756	2	-1.58681	-1.14725	2	0.071795	-2	1.06227	1.52234	-2	-0.373626	2	-1.16874	-1.72161	2	1.04664	-2	0.49768	1.82906	-1.95702	-0.871795	2	-0.364835	-2	1.25177	1.32894	-2	0.170452	2	-1.08767	-1.07497	2	1.05153	-2	1.06325	1.79683	-1.88962	-0.653968	2	-0.583639	-2	1.80855	1.28694	-2	0.0757022	1.82906	-1.94139	-1.49597	1.99609	0.130403	-2	1.00562	1.579	-2	-0.119658	2	-0.9558	-1.69719	2	1.05836	-2	0.264225	1.81832	-1.76459	-0.857143	2	-0.0717949	-2	1.67961	1.57411	-2	0.107937	2	-1.32405	-1.50379	2	0.721368	-2	0.825885	1.80464	-1.89744	-0.557265	2	-0.633455	-1.9619	1.85055	1.27424	-2	0.151893	2	-1.47839	-1.17363	2	0.211478	-2	1.2254	1.56923	-2	-0.400977	2	-1.05641	-1.69328	2	0.974359	-2	0.458608	1.82906	-1.6884	-0.772161	2	-0.130403	-2	1.44615	1.51941	-2	-0.126496	2	-1.4149	-1.53993	2	0.589499	-2	0.819048	1.79096	-1.87302	-0.674481	2	-0.563126	-1.94139	1.78022	1.27521
1.70208	-2	-0.324786	2	-0.88254	-1.80757	1.92869	1.15995	-2	0.435165	2	-1.69719	-1.00952	2	0.233944	-2	1.38462	1.50476	-2	-0.238828	2	-1.24396	-1.72259	2	0.83663	-2	0.745788	1.82906	-1.98437	-0.774115	2	-0.349206	-2	1.69231	1.35043	-2	0.293529	2	-1.49988	-1.42173	2	0.446887	-2	0.989011	1.579	-2	-0.39707	2	-0.905983	-1.89451	1.89744	1.02515	-2	0.345299	1.96581	-1.83883	-1.04078	2	0.0786326	-2	1.33871	1.53016	-2	-0.187057	2	-1.26545	-1.55263	2	0.832723	-2	0.565079	1.82906	-1.79194	-0.737973	2	-0.47033	-2	1.66886	1.32796	-2	0.0737486	2	-1.41099	-1.31038	2	0.572894	-2	1.07204	1.7177	-2	-0.374603	2	-0.622711	-1.76068	2	1.24884	-2	0.233944	1.94823	-1.69035	-1.02515	2	0.091331	-2	1.40415	1.52039	-2	-0.189011	2	-1.02906	-1.52821	2	0.735043	-2	0.637363	1.81245	-2	-0.844444	2	-0.391209	-2	1.62393	1.39243	-2	0.117705	2	-1.50476	-1.23614	2	0.605128	-2	1.12869	1.72259	-2	-0.350183	2	-0.894261	-1.86618	1.95507	1.08962	-2	0.410745	1.98144	-1.71184	-0.948962	2	-0.00537241	-2	1.48327	1.53016	-2	-0.0747253	2	-1.16972	-1.4823	2	0.670574	-2	0.697924	1.77729	-2	-0.57094	2	-0.521123	-1.99316	1.85641	1.32308	-2	0.283761	2	-1.49402	-1.17167	2	0.268132	-2	1.32503	1.579	-2	-0.455678	2	-0.93138	-1.72747	1.94725	0.915751	-2	0.614896	1.98242	-1.74603	-0.897192	2	-0.0776557	-2	1.5243	1.44029	-2	-0.046398	2	-1.29182	-1.43248	2	0.615873	-2	0.804396	1.78803	-1.94725	-0.599267	2	-0.523077	-1.92283	1.84274	1.26642	-2	0.240782	2	-1.59267	-1.25275	2	0.197802	-2	1.17265	1.57509	-2	-0.332601	2	-0.977289	-1.73529	2	1.02906	-2	0.32381	1.82906	-1.77241	-0.863004	2	-0.161661	-2	1.56825	1.56532	-2	-0.0151404	2	-1.27521	-1.56142	2	0.621734	-2	0.745788	1.76361	-2	-0.686203	2	-0.66569	-1.95507	1.73333	1.19121	-2
-0.0942613	-2	1.54579	1.51453	-2	0.042491	2	-1.33187	-1.50281	2	0.591453	-2	0.919658	1.73236	-2	-0.697924	2	-0.702808	-1.94628	1.82808	1.16288	-2	0.444933	2	-1.64444	-1.08278	2	0.234921	-2	1.21856	1.56044	-2	-0.189988	2	-1.09548	-1.69035	2	0.966545	-2	0.454701	1.82906	-1.80269	-0.753602	2	-0.147985	-2	1.70208	1.4569	-2	-0.021978	2	-1.36899	-1.52332	2	0.591453	-2	0.817094	1.68645	-2	-0.435165	2	-0.838584	-1.96386	1.84664	1.35629	-2	0.355067	2	-1.4149	-0.981197	2	0.200733	-2	1.16386	1.56435	-2	-0.260317	2	-1.23516	-1.68156	2	0.93431	-2	0.61685	1.82906	-1.81343	-0.757509	2	-0.127473	-2	1.52821	1.32894	-2	-0.00537241	2	-1.59853	-1.52918	2	0.583639	-2	0.727228	1.579	-1.90818	-0.47619	2	-0.780952	-1.89744	2	1.30061	-2	0.156777	2	-1.70208	-1.16679	2	0.224176	-2	1.28107	1.579	-2	-0.10696	2	-1.1619	-1.76654	2	1.07888	-2	0.600244	1.82906	-1.9453	-0.8337	2	-0.381441	-2	1.57021	1.32894	-2	-0.0278388	2	-1.52918	-1.35336	2	0.503541	-2	0.943101	1.73724	-2	-0.432234	2	-0.803419	-1.89841	1.85836	1.17949	-2	0.289622	2	-1.72943	-1.11404	2	0.25641	-2	1.43932	1.579	-2	-0.173382	2	-1.17167	-1.62979	1.97363	0.928449	-2	0.517216	1.82906	-1.83199	-0.726251	2	-0.433211	-2	1.76361	1.45495	-2	0.104029	2	-1.19902	-1.28791	2	0.423443	-2	1.03785	1.71966	-2	-0.487912	2	-0.791697	-1.8398	1.87106	1.01734	-2	0.350183	1.82906	-1.79878	-0.977289	2	0.00244212	-2	1.44713	1.4696	-2	-0.0962149	2	-1.25958	-1.50965	2	0.820024	-2	0.608059	1.81441	-1.94628	-0.723321	2	-0.461538	-1.9619	1.74212	1.40415	-2	0.149939	2	-1.61221	-1.32112	2	0.411722	-2	0.968498	1.579	-2	-0.336508	2	-0.995849	-1.85348	1.98046	1.03394	-2	0.477167	2	-1.84274	-0.929426	2	-0.0522588	-2	1.35629	1.49499	-2	-0.0796093	2	-1.34261	-1.5409
-2	0.236874	2	-1.65128	-1.25958	2	0.265202	-2	1.07009	1.579	-2	-0.226129	2	-0.926496	-1.71575	2	1.158	-2	0.467399	1.82906	-1.76264	-0.976313	2	-0.0210012	-2	1.55946	1.46862	-2	-0.0932845	2	-1.45397	-1.61905	2	0.606105	-2	0.874725	1.74994	-2	-0.489866	2	-0.591453	-1.97949	1.83394	1.20195	-2	0.237851	2	-1.58193	-1.17949	2	0.339438	-2	1.31331	1.579	-2	-0.30232	2	-0.928449	-1.73333	2	1.03883	-2	0.589499	1.94335	-1.7812	-0.875702	2	0.062027	-2	1.59267	1.46081	-2	-0.0737485	2	-1.46862	-1.47839	2	0.555311	-2	0.713553	1.73626	-1.94725	-0.643223	2	-0.730159	-1.98535	1.78706	1.16484	-2	0.288645	2	-1.45495	-1.17656	2	0.391209	-2	1.15116	1.57705	-2	-0.290598	2	-0.970452	-1.71868	2	1.09548	-2	0.398046	1.958	-1.67082	-0.872772	2	-0.181197	-2	1.64151	1.47546	-2	-0.149939	2	-1.27228	-1.50965	2	0.610989	-2	0.839561	1.7939	-1.95018	-0.573871	2	-0.542613	-1.90427	1.91013	1.31624	-2	0.304274	2	-1.58095	-1.1873	2	0.301343	-2	1.13846	1.579	-2	-0.391209	2	-1.11306	-1.79976	2	0.974359	-2	0.573871	1.97656	-1.7265	-0.889377	2	-0.102076	-2	1.6083	1.51844	-2	-0.0356532	2	-1.2928	-1.50672	2	0.68718	-2	0.808303	1.77631	-2	-0.673504	2	-0.645177	-1.94823	1.92088	1.16777	-2	0.399023	2	-1.73724	-1.1072	2	0.252503	-2	1.1619	1.55751	-2	-0.146032	2	-1.13162	-1.6591	2	0.972405	-2	0.56801	1.82906	-1.78803	-0.651038	2	-0.321856	-2	1.68059	1.4022	-2	0.0835166	2	-1.47448	-1.34457	2	0.488889	-2	1.12381	1.68742	-2	-0.331624	2	-0.820024	-1.86911	1.82808	1.08864	-2	0.142125	1.94335	-1.74799	-0.952869	2	0.167521	-2	1.39438	1.54579	-2	-0.163614	2	-1.08083	-1.63663	2	0.810256	-2	0.663736	1.82906	-1.93748	-0.699878	2	-0.383394	-2	1.82418	1.40806	-2	0.0991454	2	-1.39829	-1.28596	2	0.357021	-2	1.10037
-2	0.93431	1.67668	-2	-0.37265	2	-0.799512	-1.86716	1.93944	1.15409	-2	0.257387	2	-1.60537	-1.00073	2	-0.0405372	-2	1.41001	1.53407	-2	-0.269109	2	-1.02222	-1.54676	2	0.832723	-2	0.695971	1.82906	-1.95995	-0.725275	2	-0.149939	-1.96581	1.79096	1.34554	-2	0.0346766	2	-1.55067	-1.42173	2	0.483028	-2	1.01148	1.76264	-2	-0.564103	2	-0.81514	-1.86618	1.916	1.1326	-2	0.406838	2	-1.74017	-1.0906	2	0.163614	-2	1.42564	1.55165	-2	-0.25348	2	-1.158	-1.59853	2	0.937241	-2	0.66862	1.82906	-1.90427	-0.842491	2	-0.139194	-2	1.66007	1.37094	-2	0.252503	2	-1.47057	-1.44713	2	0.284738	-2	0.880586	1.579	-2	-0.47326	2	-0.530891	-1.85836	1.9707	1.16972	-2	0.366789	2	-1.61319	-1.10818	2	0.195849	-2	1.45788	1.54676	-2	-0.191941	2	-1.18535	-1.64151	2	0.90696	-2	0.805372	1.82808	-1.9453	-0.743834	2	-0.442002	-2	1.54383	1.27912	-2	0.161661	2	-1.52723	-1.42173	2	0.395116	-2	0.979243	1.579	-2	-0.380464	2	-0.823932	-1.83492	2	1.11697	-2	0.328694	1.99902	-1.66105	-1.03687	2	0.154823	-2	1.35043	1.50672	-2	-0.157753	2	-1.15018	-1.62393	2	0.854213	-2	0.56801	1.81538	-1.94237	-0.730159	2	-0.37558	-2	1.65226	1.3514	-2	0.102076	2	-1.56825	-1.42173	2	0.450794	-2	1.12381	1.579	-2	-0.467399	2	-0.907936	-1.8779	1.95116	1.13944	-2	0.290598	1.82906	-1.7939	-1.00659	2	0.0112333	-2	1.50867	1.63077	-2	-0.177289	2	-1.18535	-1.56239	2	0.831746	-2	0.685226	1.82906	-1.79976	-0.649084	2	-0.306227	-2	1.75092	1.4022	-2	0.102076	2	-1.53797	-1.48327	2	0.487912	-2	0.978266	1.579	-2	-0.435165	2	-0.856166	-1.89158	1.93748	1.15604	-2	0.270086	1.95604	-1.73431	-1.03101	2	-0.026862	-2	1.30647	1.53211	-2	-0.120635	2	-1.02515	-1.55165	2	0.935287	-2	0.707692	1.82906	-1.87595	-0.721367	2	-0.317949	-2	1.7177
-1.3348	2	0.617827	-2	0.932357	1.579	-2	-0.453724	2	-0.90989	-1.95507	1.88181	1.13358	-2	0.34823	1.9707	-1.71282	-1.08864	2	0.164591	-2	1.2	1.537	-2	-0.139194	2	-1.23126	-1.663	2	0.991941	-2	0.587546	1.82906	-1.92674	-0.778022	2	-0.317949	-2	1.64444	1.3895	-2	0.265202	2	-1.57411	-1.38071	2	0.480098	-2	1.02027	1.65421	-2	-0.377534	2	-0.86398	-1.77338	2	1.15116	-2	0.360928	1.82906	-1.89353	-0.998779	2	0.0415142	-2	1.46862	1.50281	-2	-0.139194	2	-1.31038	-1.61123	2	0.656899	-2	0.669597	1.7978	-1.95995	-0.646154	2	-0.415629	-1.98632	1.77924	1.44713	-2	0.168498	2	-1.52625	-1.28596	2	0.365812	-2	0.929426	1.579	-2	-0.282784	2	-0.860073	-1.83492	1.99805	1.12674	-2	0.441026	1.82906	-1.88767	-0.989988	2	-0.103052	-2	1.31136	1.43736	-2	-0.0874237	2	-1.29866	-1.57118	2	0.704762	-2	0.764347	1.77241	-2	-0.637363	2	-0.463492	-1.958	1.68547	1.32894	-2	0.287668	2	-1.55263	-1.25861	2	0.344322	-2	0.911844	1.579	-2	-0.407814	2	-0.845421	-1.83687	2	1.16874	-2	0.367766	1.9707	-1.67375	-0.977289	2	0.208547	-2	1.28107	1.47643	-2	-0.203663	2	-1.19902	-1.62979	2	0.900122	-2	0.626618	1.82906	-1.92186	-0.702808	2	-0.32381	-2	1.60635	1.33578	-2	-0.0034188	2	-1.56923	-1.37778	2	0.551404	-2	1.0359	1.7177	-2	-0.295482	2	-0.666667	-1.82808	1.88376	1.19316	-2	0.308181	1.95897	-1.78315	-1.08278	2	0.101099	-2	1.36215	1.53504	-2	-0.232967	2	-1.242	-1.72063	2	0.864957	-2	0.63834	1.82906	-1.93162	-0.830769	2	-0.164591	-2	1.54481	1.37485	-2	0.115751	2	-1.43541	-1.34847	2	0.486935	-2	0.979243	1.72943	-2	-0.501587	2	-0.764347	-1.89158	1.87497	1.23614	-2	0.428327	2	-1.53504	-1.09744	2	0.248596	-2	1.22344	1.54286	-2	-0.230037	2	-1.06227	-1.82613	1.92869	0.886447	-2	0.545543	1.82906	-1.82515	-0.78486	2
1.579	-2	-0.138217	2	-1.10916	-1.76361	1.92576	0.932357	-2	0.516239	1.82906	-1.92381	-0.922588	2	-0.197802	-2	1.47937	1.32894	-2	0.042491	2	-1.46667	-1.55946	2	0.620757	-2	0.747741	1.7177	-2	-0.664713	2	-0.576801	-1.89841	1.77436	1.29182	-2	0.366789	2	-1.47253	-1.10623	2	0.391209	-2	0.917705	1.579	-2	-0.539683	2	-0.926496	-1.78315	2	1.05446	-2	0.412699	2	-1.58291	-0.832723	2	0.1558	-2	1.47643	1.53602	-2	-0.258364	2	-1.31722	-1.72063	2	0.748718	-2	0.549451	1.82906	-1.9033	-0.820024	2	-0.501587	-2	1.79878	1.39829	-2	0.00244212	2	-1.56239	-1.43346	2	0.30232	-2	1.14237	1.579	-2	-0.393162	2	-0.415629	-1.73724	1.96288	1.18242	-2	0.39707	2	-1.69328	-1.01929	2	0.0932846	-2	1.30354	1.53895	-2	-0.221245	2	-1.22833	-1.67082	2	0.799512	-2	0.671551	1.82906	-1.87497	-0.692063	2	-0.209524	-1.90916	1.73724	1.4022	-2	0.071795	2	-1.43053	-1.36313	2	0.44591	-2	0.688156	1.579	-2	-0.39707	2	-0.739927	-1.86911	1.83101	1.20195	-2	0.266178	2	-1.62491	-1.18437	2	0.29939	-2	1.10623	1.51453	-2	-0.269109	2	-0.86105	-1.67375	2	1.07497	-2	0.465446	1.82906	-1.8525	-0.905006	2	-0.0825397	-2	1.53504	1.41685	-2	-0.0698413	2	-1.3895	-1.52137	2	0.658852	-2	0.804396	1.74994	-1.98046	-0.637363	2	-0.743834	-2	1.81245	1.29573	-2	0.114774	2	-1.62882	-1.14628	2	0.234921	-2	1.15995	1.73724	-2	-0.308181	2	-1.09353	-1.76557	2	1.02711	-2	0.526007	1.99707	-1.66984	-0.847375	2	0.0512822	-2	1.54872	1.53309	-2	-0.100122	2	-1.28791	-1.47643	2	0.6442	-2	0.782906	1.82906	-1.88767	-0.69011	2	-0.466422	-1.96777	1.74799	1.28791	-2	0.18022	2	-1.44225	-1.35238	2	0.479121	-2	1.0525	1.71673	-2	-0.443956	2	-0.865934	-1.86422	1.96581	1.15702	-2	0.264225	1.98242	-1.6044	-0.938217	2	0.0180709	-2	1.46178	1.56923	-2
